"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Cole J.; Steffman J.; Shattuck-Hufnagel S.; Tilsen S.","Cole, Jennifer (56305941900); Steffman, Jeremy (57202820392); Shattuck-Hufnagel, Stefanie (6603455141); Tilsen, Sam (24538003100)","56305941900; 57202820392; 6603455141; 24538003100","Hierarchical distinctions in the production and perception of nuclear tunes in American English","2023","Laboratory Phonology","14","1","","","","","1","10.16995/labphon.9437","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164414026&doi=10.16995%2flabphon.9437&partnerID=40&md5=320df059e87598387708a12025b74461","Department of Linguistics, Northwestern University, Evanston, IL, United States; Linguistics and English Language, The University of Edinburgh, United Kingdom; Speech Communications Group, Research Laboratory of Electronics, Massachusetts Institute of Technology, Cambridge, MA, United States; Department of Linguistics, Cornell University, Ithaca, NY, United States","Cole J., Department of Linguistics, Northwestern University, Evanston, IL, United States; Steffman J., Linguistics and English Language, The University of Edinburgh, United Kingdom; Shattuck-Hufnagel S., Speech Communications Group, Research Laboratory of Electronics, Massachusetts Institute of Technology, Cambridge, MA, United States; Tilsen S., Department of Linguistics, Cornell University, Ithaca, NY, United States","In Autosegmental-Metrical models of intonational phonology, different types of pitch accents, phrase accents, and boundary tones concatenate to create a set of phonologically distinct phrase-final nuclear tunes. This study asks if an eight-way distinction in nuclear tune shape in American English, predicted from the combination of two (monotonal) pitch accents, two phrase accents, and two boundary tones, is evident in speech production and in speech perception. F0 trajectories from a large-scale imitative speech production experiment were analyzed using bottom-up (k-means) clustering, neural net classification, GAMM modeling, and modeling of turning point alignment. Listeners’ perception of the same tunes is tested in a perceptual discrimination task and related to the imitation results. Emergent grouping of tunes in the clustering analysis, and related classification accuracy from the neural net, show a merging of some of the predicted distinctions among tunes whereby tune shapes that vary primarily in the scaling of final f0 are not reliably distinguished. Within five emergent clusters, subtler distinctions among tunes are evident in GAMMs and f0 turning point modeling. Clustering of individual participants’ production data shows a range of partitions of the data, with nearly all participants making a primary distinction between a class of High-Rising and Non-High-Rising tunes, and with up to four secondary distinctions among the non-Rising class. Perception results show a similar pattern, with poor pairwise discrimination for tunes that differ primarily, but by a small degree, in final f0, and highly accurate discrimination when just one member of a pair is in the High-Rising tune class. Together, the results suggest a hierarchy of distinctiveness among nuclear tunes, with a robust distinction based on holistic tune shape and poorly differentiated distinctions between tunes with the same holistic shape but small differences in final f0. The observed distinctions from clustering, classification, and perception analyses align with the tonal specification of a binary pitch accent contrast {H*, L*} and a maximally ternary {H%, M%, L%} boundary tone contrast; the findings do not support distinct tonal specifications for the phrase accent and boundary tone from the AM model. © 2023 The Author(s).","","","J. Cole; Department of Linguistics, Northwestern University, Evanston, United States; email: jennifer.cole1@northwestern.edu","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85164414026"
"Needle J.M.; Pierrehumbert J.B.","Needle, Jeremy M. (57044819400); Pierrehumbert, Janet B. (6602501744)","57044819400; 6602501744","Gendered associations of English morphology","2020","Laboratory Phonology","9","1","labphon.134","","","","7","10.5334/LABPHON.134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067105384&doi=10.5334%2fLABPHON.134&partnerID=40&md5=1afc6a8ea4f7465b88d9531f15215043","Department of Linguistics, Northwestern University, Evanston, IL, United States; Department of Engineering Science, University of Oxford, Oxford, United Kingdom","Needle J.M., Department of Linguistics, Northwestern University, Evanston, IL, United States; Pierrehumbert J.B., Department of Engineering Science, University of Oxford, Oxford, United Kingdom","Morphological systems arise from language experience encoded in the lexicon, which includes much statistical and episodic information (see Pierrehumbert, 2006; Rácz, Pierrehumbert, Hay, & Papp, 2015). Lexical statistics have been successfully applied in theories of morphological learning and change (Bybee, 1995), but there remains much unexplained variation in speakers' morphological choices and patterns of generalization. A promising route for explanation is the role of social-indexical information in shaping morphological systems. We present a quantitative experimental study on the relationship of morphological perception to speaker gender, a highly salient aspect of the linguistic context that is known to be important in language variation and change. We show that people have significant success in associating English words with speaker gender, and that their implicit knowledge generalizes to gender associations of novel words (pseudowords) on the basis of their component morphemes. By analyzing judgments of morphological decomposition in conjunction with these indexical judgments, we also make inferences about the cognitive architecture for social-indexical effects in morphology. © 2018 The Author(s).","Indexicality; Morphology; Pseudowords; Sociolinguistics","","J.M. Needle; Department of Linguistics, Northwestern University, Evanston, United States; email: jneedle@u.northwestern.edu","","Web Portal Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85067105384"
"Tjuka A.; Nguyen H.T.T.; Spalek K.","Tjuka, Annika (57216694488); Nguyen, Huong Thi Thu (57222472779); Spalek, Katharina (6507260231)","57216694488; 57222472779; 6507260231","Erratum: Foxes, deer, and hedgehogs: The recall of focus alternatives in vietnamese (Laboratory Phonology: Journal of the Association for Laboratory Phonology 11: 1 (16) DOI: 10.5334/labphon.253)","2021","Laboratory Phonology","12","1","","1","4","3","0","10.5334/LABPHON.323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102731532&doi=10.5334%2fLABPHON.323&partnerID=40&md5=0f492daebe3b5b41ae6265e41a6890bb","Humboldt-Universität zu Berlin, Berlin, Germany; Max-Planck-Institute for the Science of Human History, Jena, Germany","Tjuka A., Humboldt-Universität zu Berlin, Berlin, Germany, Max-Planck-Institute for the Science of Human History, Jena, Germany; Nguyen H.T.T., Humboldt-Universität zu Berlin, Berlin, Germany; Spalek K., Humboldt-Universität zu Berlin, Berlin, Germany","Only after the publication of the paper “Foxes, deer, and hedgehogs: The recall of focus alternatives in Vietnamese” did we become aware of the existence of an erratum to Baron Cohen et al.’s (2001) autism spectrum questionnaire. This erratum states the necessity to reverse-code item 1 of the questionnaire. Thus, items that had been coded as 1 by us needed to be re-coded as 0 and vice versa. While this did not alter the overall findings, all numbers from calculations involving the autism scores need to be adjusted a little: (Formula Presented). © 2021 Ubiquity Press. All rights reserved.","","","A. Tjuka; Humboldt-Universität zu Berlin, Berlin, Germany; email: tjuka@shh.mpg.de","","Web Portal Ubiquity Press","18686346","","","","English","Lab. Phonol.","Erratum","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85102731532"
"Kwan Ip M.H.; Cutler A.","Kwan Ip, Martin Ho (57605967000); Cutler, Anne (55799947900)","57605967000; 55799947900","Juncture prosody across languages: Similar production but dissimilar perception","2020","Laboratory Phonology","23","1","","1","49","48","0","10.16995/labphon.6464","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128513503&doi=10.16995%2flabphon.6464&partnerID=40&md5=2d784f69da26b0377cdaeda16eeecaa0","MARCS Institute, Western Sydney University, Australia; ARC Centre of Excellence for the Dynamics of Language, Australia; Integrated Language Sciences and Technology (ILST), MindCORE, University of Pennyslvania, United States","Kwan Ip M.H., MARCS Institute, Western Sydney University, Australia, ARC Centre of Excellence for the Dynamics of Language, Australia, Integrated Language Sciences and Technology (ILST), MindCORE, University of Pennyslvania, United States; Cutler A., MARCS Institute, Western Sydney University, Australia, ARC Centre of Excellence for the Dynamics of Language, Australia","How do speakers of languages with different intonation systems produce and perceive prosodic junctures in sentences with identical structural ambiguity? Native speakers of English and of Mandarin produced potentially ambiguous sentences with a prosodic juncture either earlier in the utterance (e.g., “He gave her # dog biscuits,” “他给她 # 狗饼干”), or later (e.g., “He gave her dog # biscuits,” “他给她狗 # 饼干”). These production data showed that prosodic disambiguation is realized very similarly in the two languages, despite some differences in the degree to which individual juncture cues (e.g., pausing) were favoured. In perception experiments with a new disambiguation task, requiring speeded responses to select the correct meaning for structurally ambiguous sentences, language differences in disambiguation response time appeared: Mandarin speakers correctly disambiguated sentences with earlier juncture faster than those with later juncture, while English speakers showed the reverse. Mandarin speakers also showed higher levels of accuracy in disambiguation compared to English speakers, indicating language-specific differences in the extent to which prosodic cues are used. However, Mandarin, but not English, speakers showed a decrease in accuracy when pausing cues were removed. Thus even with high similarity in both structural ambiguity and production cues, prosodic juncture perception across languages can differ. © 2020 Ubiquity Press. All rights reserved.","","","","","Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85128513503"
"Zellou G.; Pycha A.","Zellou, Georgia (39962703400); Pycha, Anne (35230720900)","39962703400; 35230720900","The gradient influence of temporal extent of coarticulation on vowel and speaker perception","2020","Laboratory Phonology","9","1","labphon.118","","","","2","10.5334/LABPHON.118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081201086&doi=10.5334%2fLABPHON.118&partnerID=40&md5=16a3b09c3fd9838465cb91c64aa97137","University of California Davis, Linguistics Department, One Shields Avenue, Davis, 95616, CA, United States; University of Wisconsin Milwaukee, Linguistics Department, Johnston Hall, Milwaukee, 53211, WI, United States","Zellou G., University of California Davis, Linguistics Department, One Shields Avenue, Davis, 95616, CA, United States; Pycha A., University of Wisconsin Milwaukee, Linguistics Department, Johnston Hall, Milwaukee, 53211, WI, United States","Coarticulation makes vowels in context acoustically different from context-free vowels. Listeners sometimes compensate by ascribing these acoustic effects to their source, but the conditions under which they do so have not yet been fully pinpointed. Ohala (1993) had suggested that acoustic effects which are temporally more distant from their source should be more susceptible to misattribution. In three experiments, we tested this hypothesis by varying the temporal extent of coda-triggered coarticulation on vowels and investigating its influence on two different perceptual behaviors: Speaker-model representation and vowel-phoneme identification. Experiment 1 asked listeners to estimate speaker height based on /giC/ and /giC/ nonsense tokens produced by twelve female speakers. Results indicated a gradient effect: Within lax /i/, greater temporal extent of coarticulation correlated with taller height judgments. Experiment 2a was similar, except that temporal extent of coarticulation in the tokens varied across a wider range of values than in Experiment 1. Results again indicated a gradient effect: Within lax /i/, greater temporal extent of coarticulation correlated with taller height judgments. In Experiment 2b, listeners performed an AXB vowel-phoneme discrimination task. Results showed that greater temporal extent of coarticulation correlated with greater likelihood of listeners judging an intended /i/ token to contain the vowel /Λ/. Taken together, our results indicate that temporal extent of coarticulation affects both speaker-models and interpretation of vowel identity. © 2018 The Author(s).","Coarticulation; Perceptual compensation; Sound change; Speaker height perception; Temporal dynamics; Vowel perception","","G. Zellou; University of California Davis, Linguistics Department, Davis, One Shields Avenue, 95616, United States; email: gzellou@ucdavis.edu","","Web Portal Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85081201086"
"McMullin K.; Hansson G.Ó.","McMullin, Kevin (57188859740); Hansson, Gunnar Ólafur (16306703700)","57188859740; 16306703700","Inductive learning of locality relations in segmental phonology","2019","Laboratory Phonology","10","1","14","","","","8","10.5334/labphon.150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081280742&doi=10.5334%2flabphon.150&partnerID=40&md5=92d1b781ae9a6435ea90e7a046e59f97","Department of Linguistics, University of Ottawa, Ottawa, ON, Canada; Department of Linguistics, University of British Columbia, Vancouver, BC, Canada","McMullin K., Department of Linguistics, University of Ottawa, Ottawa, ON, Canada; Hansson G.Ó., Department of Linguistics, University of British Columbia, Vancouver, BC, Canada","This paper reports on a series of artificial grammar learning experiments focused on locality relations in patterns of long-distance consonant agreement (harmony) and disagreement (dissimilation). Participants in experimental conditions were exposed to dependencies affecting stem-suffix pairs of liquids at either a short-range (transvocalic, CVCVLV-LV) or medium-range (beyond-transvocalic, CVLVCV-LV) distance. Two experiments used a poverty of stimulus paradigm, offering no information about the other distance level; participants interpreted short-range interaction as a strictly transvocalic dependency but medium-range interaction as unbounded, generalizing to other distances. Two experiments employed a 'rich stimulus' paradigm, where training data unambiguously indicated the absence of any dependency at the other distance; this enabled probing of specific locality patterns, in particular strictly beyond-transvocalic dependencies. The constraint-based Agreement by Correspondence model of non-adjacent consonant interactions predicts such patterns to be possible for dissimilation but not harmony. The results do not support this hypothesis: Participants seem to have serious difficulty learning strictly beyond-transvocalic dependencies of either kind. Our findings are more consistent with recent proposals that the space of learnable phonotactic restrictions is delimited by the Tier-based Strictly 2-Local class of formal languages. Strictly transvocalic and unbounded dependencies lie within this region, whereas strictly beyond-transvocalic dependencies are more complex, falling outside the learner's hypothesis space. © 2019 The Author(s). This is an open-access article distributed under the terms of the Creative Commons Attribution 4.0 International License (CC-BY 4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. See http://creativecommons.org/licenses/by/4.0/.","Artificial grammar learning; Complexity; Dissimilation; Harmony; Learnability; Learning bias; Locality relations","","K. McMullin; Department of Linguistics, University of Ottawa, Ottawa, Canada; email: kevin.mcmullin@uottawa.ca","","Web Portal Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85081280742"
"Li M.; Zhang J.","Li, Mingxing (36959362500); Zhang, Jie (23020554300)","36959362500; 23020554300","Perceptual distinctiveness between dental and palatal sibilants in different vowel contexts and its implications for phonological contrasts","2021","Laboratory Phonology","8","1","18","","","","4","10.5334/labphon.27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070472520&doi=10.5334%2flabphon.27&partnerID=40&md5=a642e4f732910891c66d2dae6591b131","Department of Linguistics, University of Kansas, 1541 Lilac Lane, Lawrence, United States","Li M., Department of Linguistics, University of Kansas, 1541 Lilac Lane, Lawrence, United States; Zhang J., Department of Linguistics, University of Kansas, 1541 Lilac Lane, Lawrence, United States","Mandarin Chinese has dental, palatal, and retroflex sibilants, but their contrasts before [_i] are avoided: The palatals appear before [i] while the dentals and retroflexes appear before homorganic syllabic approximants (a.k.a. apical vowels). An enhancement view regards the apical vowels as a way to avoid the weak contrast/si-i-i/. We focus on the dental vs. palatal contrast in this study and test the enhancement-based hypothesis that the dental and palatal sibilants are perceptually less distinct in the [_i] context than in other vowel contexts. This hypothesis is supported by a typological survey of 155 Chinese dialects, which showed that contrastive [si, tsi, tsi] and [i, ti, ti] tend to be avoided even when there are no retroflexes in the sound system. We also conducted a speeded-AX discrimination experiment with 20 English listeners and 10 Chinese listeners to examine the effect of vowels ([_i], [_a], [_ou]) on the perceived distinctiveness of sibilant contrasts ([s-], [ts-t], [ts-t]). The results showed that the [_i] context introduced a longer response time, thus reduced distinctiveness, than other vowels, confirming our hypothesis. Moreover, the general lack of difference between the two groups of listeners indicates that the vowel effect is language-independent. © 2017 Ubiquity Press. All rights reserved.","Chinese; Perceptual distinctiveness; Sibilant contrast; Speeded-AX discrimination; Vowel context","","M. Li; Department of Linguistics, University of Kansas, Lawrence, 1541 Lilac Lane, United States; email: mxli@ku.edu","","Web Portal Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85070472520"
"Shaw J.A.; Best C.T.; Docherty G.; Evans B.G.; Foulkes P.; Hay J.; Mulak K.E.","Shaw, Jason A. (35797494200); Best, Catherine T. (7006972239); Docherty, Gerard (6603550290); Evans, Bronwen G. (36922341100); Foulkes, Paul (11141407700); Hay, Jennifer (15057758400); Mulak, Karen E. (55924732500)","35797494200; 7006972239; 6603550290; 36922341100; 11141407700; 15057758400; 55924732500","Resilience of English vowel perception across regional accent variation","2020","Laboratory Phonology","9","1","labphon.87","","","","16","10.5334/LABPHON.87","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098580640&doi=10.5334%2fLABPHON.87&partnerID=40&md5=1388e8949b6abacdc420a15b041d17a1","The MARCS Institute for Brain Behaviour and Development, Western Sydney University, Penrith, 2751, NSW, Australia; Department of Linguistics, Yale University, New Haven, 06510, CT, United States; Arts Education and Law, Griffith University, Brisbane, 4111, QLD, Australia; Department of Speech Hearing and Phonetic Sciences, University College London, London, WC1E 6BT, United Kingdom; Language and Linguistic Science, University of York, Heslington, York, YO10 5DD, United Kingdom; New Zealand Institute of Language Brain and Behaviour, University of Canterbury, Private Bag 4800, Christchurch, 8140, New Zealand; Department of Hearing and Speech Sciences, University of Maryland, College Park, 20740, MD, United States","Shaw J.A., The MARCS Institute for Brain Behaviour and Development, Western Sydney University, Penrith, 2751, NSW, Australia, Department of Linguistics, Yale University, New Haven, 06510, CT, United States; Best C.T., The MARCS Institute for Brain Behaviour and Development, Western Sydney University, Penrith, 2751, NSW, Australia; Docherty G., Arts Education and Law, Griffith University, Brisbane, 4111, QLD, Australia; Evans B.G., Department of Speech Hearing and Phonetic Sciences, University College London, London, WC1E 6BT, United Kingdom; Foulkes P., Language and Linguistic Science, University of York, Heslington, York, YO10 5DD, United Kingdom; Hay J., New Zealand Institute of Language Brain and Behaviour, University of Canterbury, Private Bag 4800, Christchurch, 8140, New Zealand; Mulak K.E., The MARCS Institute for Brain Behaviour and Development, Western Sydney University, Penrith, 2751, NSW, Australia, Department of Hearing and Speech Sciences, University of Maryland, College Park, 20740, MD, United States","In two categorization experiments using phonotactically legal nonce words, we tested Australian English listeners' perception of all vowels in their own accent as well as in four less familiar regional varieties of English which differ in how their vowel realizations diverge from Australian English: London, Yorkshire, Newcastle (UK), and New Zealand. Results of Experiment 1 indicated that amongst the vowel differences described in sociophonetic studies and attested in our stimulus materials, only a small subset caused greater perceptual difficulty for Australian listeners than for the corresponding Australian English vowels. We discuss this perceptual tolerance for vowel variation in terms of how perceptual assimilation of phonetic details into abstract vowel categories may contribute to recognizing words across variable pronunciations. Experiment 2 determined whether short-term multi-talker exposure would facilitate accent adaptation, particularly for those vowels that proved more difficult to categorize in Experiment 1. For each accent separately, participants listened to a pre-test passage in the nonce word accent but told by novel talkers before completing the same task as in Experiment 1. In contrast to previous studies showing rapid adaptation to talker-specific variation, our listeners' subsequent vowel assimilations were largely unaffected by exposure to other talkers' accent-specific variation. © 2018 The Author(s).","English accents; Perceptual Assimilation Model; Perceptual learning; Sociophonetic variation; Vowel perception","","J.A. Shaw; The MARCS Institute for Brain Behaviour and Development, Western Sydney University, Penrith, 2751, Australia; email: jason.shaw@yale.edu","","Web Portal Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85098580640"
"Rubertus E.; Noiray A.","Rubertus, Elina (57202548526); Noiray, Aude (36934000800)","57202548526; 36934000800","Vocalic activation width decreases across childhood: Evidence from carryover coarticulation","2020","Laboratory Phonology","11","1","","1","27","26","8","10.5334/LABPHON.228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089588186&doi=10.5334%2fLABPHON.228&partnerID=40&md5=29349fbe7613612aef6ce76a57687574","Department of Linguistics, University of Potsdam, Potsdam, Germany; Haskins Laboratories, New Haven, CT, United States","Rubertus E., Department of Linguistics, University of Potsdam, Potsdam, Germany; Noiray A., Department of Linguistics, University of Potsdam, Potsdam, Germany, Haskins Laboratories, New Haven, CT, United States","This study is the first to use kinematic data to assess lingual carryover coarticulation in children. We investigated whether the developmental decrease previously attested in anticipatory coarticulation, as well as the relation between coarticulatory degree and the consonantal context, also characterize carryover coarticulation. Sixty-two children and 13 adults, all native speakers of German, were recruited according to five age cohorts: three-year-olds, four-year-olds, five-year-olds, seven-year-olds, and adults. Tongue movements during the production of .CV.C utterances (C = /b, d, g/, V = /i, y, e, a, o, u/) were recorded with ultrasound. We measured vowel-induced horizontal displacement of the tongue dorsum within the last syllable and compared the resulting coarticulatory patterns between age cohorts and consonantal contexts. Results indicate that the degree of vocalic carryover coarticulation decreases with age. Vocalic prominence within an utterance as well as its change across childhood depended on the postvocalic consonant’s articulatory demands for the tongue dorsum (i.e., its coarticulatory resistance): Low resistant /b/ and /g/ allowed for more vocalic perseveration and a continuous decrease, while the highly resistant /d/ displayed lower coarticulation degrees and discontinuous effects. These findings parallel those in anticipation suggesting a similar organization of anticipatory and carryover coarticulation. Implications for theories of speech production are discussed. © 2020 Ubiquity Press. All rights reserved.","Carryover effects; Coarticulation; Gestural organization; Language acquisition; Speech motor control; Vowels","","E. Rubertus; Department of Linguistics, University of Potsdam, Potsdam, Germany; email: rubertus@uni-potsdam.de","","Web Portal Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85089588186"
"Dokovova M.; Scobbie J.M.; Lickley R.","Dokovova, Marie (57647115800); Scobbie, James M. (6507182184); Lickley, Robin (6602604134)","57647115800; 6507182184; 6602604134","Matched-accent processing: Bulgarian-English bilinguals do not have a processing advantage with Bulgarian-accented English over native English speech","2022","Laboratory Phonology","13","1","12","","","","0","10.16995/labphon.6423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147215976&doi=10.16995%2flabphon.6423&partnerID=40&md5=4070c87368f89b45cf8e1e4f13500041","Speech and Language Therapy, University of Strathclyde, Glasgow, United Kingdom; Clinical Audiology Speech and Language (CASL) Research Centre, Queen Margaret University, Edinburgh, United Kingdom","Dokovova M., Speech and Language Therapy, University of Strathclyde, Glasgow, United Kingdom, Clinical Audiology Speech and Language (CASL) Research Centre, Queen Margaret University, Edinburgh, United Kingdom; Scobbie J.M., Clinical Audiology Speech and Language (CASL) Research Centre, Queen Margaret University, Edinburgh, United Kingdom; Lickley R., Clinical Audiology Speech and Language (CASL) Research Centre, Queen Margaret University, Edinburgh, United Kingdom","The Interlanguage Speech Intelligibility Benefit (ISIB) hypothesis for Talkers suggests that there is a potential benefit when listening to one's second language when it is produced in the accent of one's first language (matched-accent processing). This study explores ISIB, considering listener proficiency. According to second language learning theories, the listener's second language proficiency determines the extent to which they rely on their first language phonetics, hence the magnitude of ISIB may be affected by listener proficiency. The accuracy and reaction times of Bulgarian-English bilinguals living in the UK were recorded in a lexical decision task. The English stimuli were produced by native English speakers and Bulgarian-English bilinguals. Listeners responded more slowly and less accurately to the matched-accent stimuli than the native English stimuli. In addition, they adapted their reaction times faster to new speakers with a native English accent compared to a Bulgarian accent. However, the listeners with the lowest English proficiency had no advantage in reaction times and accuracy for either accent. The results offer mixed support for ISIB for Talkers, and are consistent with second language learning theories according to which listeners rely less on their native language phonology when their proficiency in the second language has increased. © 2022 Ubiquity Press. All rights reserved.","","","","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85147215976"
"Mielke J.; Parker S.","Mielke, Jeff (7005923565); Parker, Steve (7401647090)","7005923565; 7401647090","Bora's high vowels involve a two-way dental contrast, not a three-way backness contrast","2023","Laboratory Phonology","14","1","","","","","0","10.16995/labphon.8956","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168756620&doi=10.16995%2flabphon.8956&partnerID=40&md5=e18f02573c167c887763365d1add3c92","Department of English, North Carolina State University, Raleigh, NC, United States; Applied Linguistics Department, Dallas International University, Dallas, TX, United States","Mielke J., Department of English, North Carolina State University, Raleigh, NC, United States; Parker S., Applied Linguistics Department, Dallas International University, Dallas, TX, United States","The Bora language of Peru has six phonemic vowels, conventionally transcribed as/i Ɛ a o ∔ Ɯ/. This inventory is noteworthy since it appears to exhibit a three-way backness distinction among three high unrounded vowels. In this paper we present audiovisual data which confirms two significant facts: (1)/Ɯ/is high, back, and unrounded; and (2) the only vowel produced with lip rounding is/o/. However, the experiment further reveals that the Bora segment traditionally written/∔/is actually not central but rather a possibly novel type of front vowel, articulated with substantial contact between the tongue and both the upper and lower teeth. We use the methodology of Iskarous (2010) to estimate vocal tract area functions for Bora vowels based on their observed formant frequencies and amplitudes. The results of this procedure support our claim that/∔/is front and/Ɯ/is back. Several phonological alternations also motivate this characterization. The opening of the mouth and dental contact visible in the production of/∔/are correlated with its acoustic measurements, albeit in a previously undocumented way. We conclude that Bora's/∔/should be reclassified as/i/̪ - front and dental. © 2023 Ubiquity Press. All rights reserved.","","","J. Mielke; Department of English, North Carolina State University, Raleigh, United States; email: jimielke@ncsu.edu","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85168756620"
"Krause P.A.; Kay C.A.; Kawamoto A.H.","Krause, Peter A. (57205682247); Kay, Christopher A. (57219143303); Kawamoto, Alan H. (35909841600)","57205682247; 57219143303; 35909841600","Automatic motion tracking of lips using digital video and OpenFace 2.0","2020","Laboratory Phonology","11","1","","1","16","15","5","10.5334/LABPHON.232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091460448&doi=10.5334%2fLABPHON.232&partnerID=40&md5=26a377be06b96070f0db4859303d3742","Department of Psychology, University of California Santa Cruz, Santa Cruz, CA, United States; Department of Psychology, California State University Channel Islands, Camarillo, CA, United States","Krause P.A., Department of Psychology, University of California Santa Cruz, Santa Cruz, CA, United States, Department of Psychology, California State University Channel Islands, Camarillo, CA, United States; Kay C.A., Department of Psychology, University of California Santa Cruz, Santa Cruz, CA, United States; Kawamoto A.H., Department of Psychology, University of California Santa Cruz, Santa Cruz, CA, United States","Because the lips are external organs, they can be easily observed by means that are non-invasive, including simple video recording. The current paper introduces a free-of-charge, highly portable, automatic solution for extracting oral posture from digital video, based on an existing face-tracking utility. We describe how this solution might benefit various lines of laboratory phonology research, including analysis of articulatory coordination and audiovisual speech, as well as phonetic fieldwork. We then provide a tutorial, framed as a simple experiment in metronomic speech. The tutorial describes how to configure the software to work with one’s digital camera of choice, how to extract relevant articulatory parameters from the face tracker, and how to approach statistical analysis. We have supplied pre-written Python scripts to aid the reader in following along with the experiment. The portability, ease, and affordability of the described solution have important implications for the accessibility of articulatory measurement, both in the lab and out in the field. © 2020 Ubiquity Press. All rights reserved.","Articulatory measurement; Digital video; Lip aperture; Motion tracking","","P.A. Krause; Department of Psychology, University of California Santa Cruz, Santa Cruz, United States; email: peakraus@ucsc.edu","","Web Portal Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85091460448"
"Roll M.; Söderström P.; Hjortdal A.; Horne M.","Roll, Mikael (17346839800); Söderström, Pelle (55248181500); Hjortdal, Anna (57841625200); Horne, Merle (7103195953)","17346839800; 55248181500; 57841625200; 7103195953","Pre-activation negativity (PrAN): A neural index of predictive strength of phonological cues","2023","Laboratory Phonology","14","1","","","","","0","10.16995/labphon.6438","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164697898&doi=10.16995%2flabphon.6438&partnerID=40&md5=25c27200b06b18fbdb41cd5cdc67edb0","Centre for Languages and Literature, Lund University, Sweden; MARCS Institute for Brain, Behaviour & Development, Western Sydney University, Australia","Roll M., Centre for Languages and Literature, Lund University, Sweden; Söderström P., Centre for Languages and Literature, Lund University, Sweden, MARCS Institute for Brain, Behaviour & Development, Western Sydney University, Australia; Hjortdal A., Centre for Languages and Literature, Lund University, Sweden; Horne M., Centre for Languages and Literature, Lund University, Sweden","We propose that a recently discovered event-related potential (ERP) component—the pre-activation negativity (PrAN)—indexes the predictive strength of phonological cues, including segments, word tones, and sentence-level tones. Specifically, we argue that PrAN is a reflection of the brain’s anticipation of upcoming speech (segments, morphemes, words, and syntactic structures). Findings from a long series of neurolinguistic studies indicate that the effect can be divided into two time windows with different possible brain sources. Between 136–200 ms from stimulus onset, it indexes activity mainly in the primary and secondary auditory cortices, reflecting disinhibition of neurons sensitive to the expected acoustic signal, as indicated by the brain regions’ response to predictive certainty rather than sound salience. After ~200 ms, PrAN is related to activity in Broca’s area, possibly reflecting inhibition of irrelevant segments, morphemes, words, and syntactic structures. © 2023 Ubiquity Press. All rights reserved.","","","M. Roll; Centre for Languages and Literature, Lund University, Sweden; email: mikael.roll@ling.lu.se","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164697898"
